num_lectures,price,days_since_published,content_duration
19,200,1779,1.5
13,20,2776,2.0
114,110,2026,6.0
11,50,1751,1.0
40,200,2363,5.5
65,200,1922,4.5
9,20,2213,1.5
27,175,1903,2.5
26,125,2544,1.5
13,0,1679,0.5166666666666666
34,110,1964,5.5
46,20,2859,5.0
12,200,1898,1.0
53,50,2866,2.5
35,200,1942,1.5
19,50,2870,2.0
11,0,1732,1.5
24,0,2846,3.5
11,20,2076,1.0
8,0,2148,0.7333333333333333
15,0,2157,1.0
10,200,1715,1.0
29,20,2649,3.0
19,0,1820,5.0
24,45,2408,5.5
52,20,2031,4.0
10,25,3556,2.0
48,60,2191,3.0
16,50,2564,2.5
16,25,2476,1.5
13,0,2582,1.0
9,195,1746,0.5
39,170,2148,6.5
17,50,2034,2.0
34,20,1807,1.0
34,30,1691,4.0
20,95,1681,2.0
145,0,1978,8.5
131,50,2648,8.0
18,45,2367,1.0
16,40,2928,4.0
395,180,2500,33.0
10,45,2303,1.5
44,200,2575,4.0
15,20,1871,1.5
70,40,2055,5.0
25,95,2143,1.5
7,35,1950,0.55
17,20,2272,2.0
14,40,2136,1.5
12,20,2710,3.0
13,25,2542,1.0
9,20,1779,1.0
19,0,2482,3.0
12,200,1778,0.6
5,0,2522,1.0
70,50,1688,10.5
90,55,2752,2.5
19,85,1834,2.5
44,50,2676,5.5
70,95,2321,13.5
239,95,2042,25.5
11,20,2082,1.0
32,55,2162,6.0
61,95,1982,2.5
23,70,1803,2.5
12,35,2176,1.0
15,25,2996,1.5
106,50,2480,6.5
82,150,2040,8.0
82,50,2010,4.0
19,20,1904,2.5
59,20,2869,8.0
13,20,2082,1.0
11,25,1977,1.5
17,20,2812,1.5
103,175,2359,13.0
27,0,1983,2.0
10,0,2522,0.5333333333333333
20,0,2568,1.5
16,200,2439,2.5
58,55,2520,4.5
32,40,1954,5.0
16,20,2931,1.0
12,20,3043,2.0
11,20,2645,0.6166666666666667
77,75,2102,6.0
32,95,1706,1.5
27,50,2528,5.0
46,30,2170,9.0
9,20,2845,0.6166666666666667
31,20,2154,1.5
30,200,1937,3.0
16,50,2186,1.0
8,35,2360,0.6166666666666667
17,50,3111,8.0
113,85,1737,18.5
30,70,2277,1.0
63,75,2423,3.5
13,20,2362,0.7
25,50,2072,2.5
33,20,2884,70.0
60,50,1985,7.0
22,70,2286,5.0
33,75,2934,4.5
38,30,2898,12.0
27,30,2083,2.0
6,60,3254,1.0
93,170,1918,4.5
64,20,2605,7.0
36,120,2304,4.0
14,95,2335,1.0
34,20,2447,6.5
9,25,2265,1.0
36,60,2229,2.0
16,20,2234,2.0
62,50,1912,1.5
15,50,2887,2.5
14,20,2433,2.0
27,40,2390,3.5
71,120,1996,14.0
11,200,2342,2.0
202,100,1765,16.0
78,100,1900,6.5
8,45,2276,1.0
8,50,1680,1.5
23,30,2450,3.0
16,30,2300,1.5
25,20,2111,4.0
8,25,1880,1.5
18,0,1750,1.0
50,195,2073,6.0
13,20,2755,1.5
55,175,2683,7.0
11,0,2475,0.7333333333333333
23,20,2009,1.5
94,200,1710,17.5
6,20,2985,2.0
22,20,2980,1.5
26,20,1962,3.0
48,50,2318,3.0
119,140,2148,12.0
23,20,2130,1.0
46,190,1710,5.0
22,0,2206,2.0
46,30,3123,11.5
321,50,1858,3.5
17,150,2131,1.5
53,200,1746,6.5
34,95,2115,3.0
69,0,1752,9.0
26,200,1893,2.0
23,20,3545,3.0
11,25,1710,0.65
61,50,2121,8.0
62,150,2097,12.5
40,125,2983,12.5
35,0,3114,2.5
21,20,2202,1.0
42,50,1917,1.0
30,40,1735,2.0
22,20,2523,2.5
44,30,2346,10.5
14,0,2837,1.5
23,40,2150,2.5
19,20,3115,1.0
15,100,2163,2.0
18,195,1900,1.0
24,20,2076,2.0
16,20,2284,1.5
18,0,2170,2.0
5,30,2105,1.0
48,175,1744,7.0
63,100,2236,11.0
12,25,2503,0.6666666666666666
23,35,2174,3.0
110,25,2268,7.5
24,25,2072,2.0
115,65,1822,9.5
13,20,1978,1.5
15,30,1820,2.0
20,20,2597,1.0
37,95,2241,3.0
8,35,1947,1.0
13,20,2191,0.5333333333333333
178,195,1869,13.0
39,80,2284,3.0
68,150,2359,5.5
37,40,2369,3.5
14,30,1813,2.5
30,70,2177,4.0
35,100,2154,3.5
122,0,2173,21.0
11,20,2382,1.0
87,65,1674,5.0
32,20,3376,5.0
30,0,2297,1.5
129,0,2604,20.5
54,200,1907,4.0
17,0,2624,1.5
30,20,1799,2.0
14,40,2104,1.0
112,20,1914,13.5
9,25,2128,2.0
41,40,2115,6.0
17,20,2329,1.0
12,20,2930,1.5
56,195,2104,7.0
33,40,1997,2.5
17,20,2370,1.5
125,200,1820,14.0
51,0,2002,2.0
18,20,2017,1.0
13,180,2026,3.0
7,35,2102,0.6166666666666667
9,0,1691,1.0
11,25,2160,0.6833333333333333
8,100,1866,1.0
21,35,2859,2.5
19,200,1701,1.0
44,150,2140,7.5
30,20,2164,9.5
12,55,1851,1.0
18,20,1964,0.7166666666666667
36,20,2271,4.0
11,65,2282,1.0
60,95,2296,3.5
27,50,2390,3.5
13,0,2221,3.0
329,190,1907,18.0
34,185,1898,8.0
10,30,2094,2.0
12,25,2180,1.5
8,20,2117,1.0
172,200,1706,11.0
6,0,3091,1.0
16,20,2580,1.0
41,20,2180,4.0
55,40,2357,4.5
16,35,2461,1.0
23,20,2028,2.5
18,200,2342,2.0
32,20,2187,6.0
29,200,2150,3.0
17,20,2094,1.5
33,200,2864,5.5
25,200,2642,2.0
309,50,2647,38.0
27,20,2334,2.5
39,20,2067,3.0
17,50,2823,3.0
42,50,2121,6.5
22,200,2268,2.0
27,190,2277,2.5
35,20,2558,2.5
18,30,2305,1.5
20,85,1844,1.0
40,25,2802,3.0
16,60,3251,2.0
7,25,2618,1.5
9,20,2936,2.5
29,20,1758,7.0
27,50,2880,4.5
24,0,1712,2.5
86,35,2665,14.0
251,195,3217,45.0
29,75,2385,3.0
50,95,2117,4.0
6,60,1710,0.7166666666666667
35,95,1675,4.0
32,185,2535,3.0
6,20,1793,1.0
27,20,2234,1.0
46,20,1859,9.5
20,20,2168,2.0
29,45,2171,2.5
14,20,3026,1.0
21,50,2565,5.5
21,200,2517,2.0
11,35,1800,1.0
25,200,2174,3.0
40,40,2655,3.5
9,60,3248,1.0
11,0,2308,1.0
25,100,1782,6.5
11,40,1917,1.0
65,95,2269,2.5
21,20,2313,2.0
69,175,1701,9.5
24,40,1953,1.5
12,30,2196,1.0
13,95,2377,1.5
71,100,2641,3.5
95,75,1934,8.5
152,200,1972,5.5
49,40,2518,4.5
19,50,2283,2.0
11,20,2294,0.6333333333333333
138,190,2083,7.5
12,80,1782,0.7333333333333333
14,20,2319,3.0
29,95,2396,2.5
61,200,1772,9.5
92,105,1710,4.0
28,100,2330,2.5
16,75,2439,2.0
16,30,2116,3.0
14,30,2278,1.5
99,80,2286,2.0
7,0,1820,1.0
15,60,1967,1.5
12,0,2375,1.0
11,50,1670,2.0
49,200,2418,4.5
100,125,2253,20.5
16,95,2084,1.0
61,75,2533,6.0
16,20,2396,1.5
36,200,2322,2.5
12,40,2380,1.0
25,50,2381,2.0
12,60,1872,1.0
42,95,2417,5.0
16,75,2202,1.5
26,20,2360,3.0
30,20,1722,2.5
8,0,2389,1.0
20,0,2482,3.0
21,0,1706,3.0
87,40,1928,10.0
13,25,2639,1.5
60,20,1982,6.5
28,50,1949,3.0
56,200,2138,11.0
161,145,1703,14.0
98,50,2201,0.5166666666666666
24,95,2613,1.5
76,150,3241,13.0
224,200,2811,28.5
17,40,2153,1.5
6,50,1732,0.5333333333333333
18,50,2578,2.0
18,20,2213,1.0
12,25,2027,1.0
10,60,3253,2.0
31,20,1898,4.0
32,25,1692,3.5
29,200,2429,2.5
45,0,3270,10.5
91,200,2563,10.0
68,20,2355,6.5
24,30,3234,4.0
25,50,2045,1.5
11,40,2124,1.0
25,105,1683,1.5
26,60,1921,0.6333333333333333
69,100,2559,10.0
37,50,2245,1.5
66,20,2580,5.5
35,60,2005,4.0
45,75,2415,4.5
53,45,2206,7.0
10,25,1891,1.0
9,40,2429,2.0
60,50,2130,13.5
29,50,1740,3.5
34,35,2439,1.0
19,25,2135,1.0
18,30,1779,2.5
34,20,1878,1.5
96,195,1963,12.5
9,100,2577,1.0
16,20,2957,3.0
16,100,1667,1.0
36,100,1834,3.0
21,200,2478,2.0
35,45,2010,1.5
83,85,1732,5.0
8,20,2073,1.0
